id,name,purpose,mmname,position,party
270,All-Party Parliamentary Group for Business Support and Engagement,"To assess how businesses can be better supported by government, the private sector and third party organisations, and to utilise Parliament to provide engagement and networking forums for businesses, to help enhance existing, and develop new, supply chains between businesses; to share ethical business practices; and to promote corporate responsibility.",Angus Brendan MacNeil,Vice Chair,Scottish National Party
271,All-Party Parliamentary Group on Carbon Capture and Storage,"To provide a forum for the discussion of issues relevant to the development of carbon capture and storage (CCS) technologies for the purposes of mitigating carbon dioxide emissions from energy intensive industries, heating and power.",Angus Brendan MacNeil,Officer,Scottish National Party
272,All-Party Parliamentary Group for Fair Fuel for UK Motorists and UK Hauliers,"To represent major issues that impact on UK drivers, from motorists to hauliers. Notably fuel taxation, congestion and toxic charges, parking costs, roads investment, fairer treatment for diesel owners, solutions to lower emissions, cleaner fuel incentives and transparent pricing at the fuel pumps.",Angus Brendan MacNeil,Vice Chair,Scottish National Party
273,All-Party Parliamentary Fisheries Group,To promote and support the UK fishing industry in Parliament.,Angus Brendan MacNeil,Vice-Chair,Scottish National Party
274,Flags and Heraldry All-Party Parliamentary Group,"To promote the flying of the Union Flag and flags associated with the UK, British territories, dependencies, the Commonwealth, heraldry, British symbols and related issues.",Angus Brendan MacNeil,Vice Chair,Scottish National Party
275,All-Party Parliamentary Group on Fuel Poverty and Energy Efficiency,To maintain awareness in Parliament of fuel poverty issues; to monitor and comment on progress against government targets across the UK to eradicate fuel poverty; to advocate policies that deliver affordable warmth for low income and vulnerable households with emphasis on improved domestic energy efficiency and efficient heating systems.,Angus Brendan MacNeil,Scotland Officer,Scottish National Party
276,All-Party Parliamentary Group on the Holy See,"To act as a conduit for closer relations and better understanding between the UK and the Holy See, and to keep Members and Peers fully briefed about the global activities of the Catholic Church.",Angus Brendan MacNeil,Treasurer,Scottish National Party
277,All-Party Parliamentary Group on Marine Energy and Tidal Lagoons,"To promote the economic, supply chain and energy security benefits from the development of marine energy resources in and around the UK.",Angus Brendan MacNeil,Vice Chair,Scottish National Party
278,All-Party Parliamentary Group for Rowing,To support the sport of rowing.,Angus Brendan MacNeil,Co-Chair,Scottish National Party
279,Parliamentary Space Committee (an All-Party Parliamentary Group),"To raise awareness in Parliament of the importance and opportunities of space based capabilities to the UK economy, policy making, society and the space community; to highlight and promote the benefits from the UK's investment in space and its leading role within the global space economy.",Angus Brendan MacNeil,Vice Chair,Scottish National Party
280,Zoos and Aquariums All-Party Parliamentary Group,"To raise awareness of the conservation, education, research and animal welfare work of British zoos and aquariums, highlighting best practice and promoting the international reputation of zoos and aquariums; and to facilitate relevant conversations around the issues faced by this profession.",Angus Brendan MacNeil,Vice-Chair,Scottish National Party
281,Cambodia All-Party Parliamentary Group,To promote friendship and understanding between the people of Cambodia and the UK.,Ann Clwyd,Chair & Registered Contact,Labour
282,All-Party Parliamentary Group on Eritrea,"To raise awareness of the human rights abuses that are taking place in Eritrea; to examine and debate how the human rights situation in the country might be improved; and to raise matters of concern with, and make representations to, government and other policy makers.",Ann Clwyd,Vice Chair,Labour
283,British-Iraq All-Party Parliamentary Group,To promote friendship and understanding between the people of Iraq and the UK.,Ann Clwyd,Chair & Registered Contact,Labour
284,All-Party Parliamentary Group for Lebanon,To provide support and understanding for Lebanon.,Ann Clwyd,Vice Chair,Labour
285,All-Party Parliamentary Group for Malaysia,To further relations between Malaysia and the UK Parliament.,Ann Clwyd,Vice Chair,Labour
286,All-Party Parliamentary Human Rights Group,To raise the profile of international human rights issues within Parliament and to investigate and publicise human rights abuses occurring.,Ann Clwyd,Chair & Registered Contact,Labour
287,All-Party Parliamentary Group on Digital Identity,To raise awareness of Digital ID issues by providing a forum for briefings and discussion. The group will address how Digital ID systems and techniques affect consumers and businesses and its role in the smooth working of the UK economy and society. The group will promote inclusion and understanding for non-specialists.,Ann Coffey,Vice Chair,Labour
288,All-Party Parliamentary Markets Group,To ensure the viability and stress the economic importance of the UK's retail markets industry.,Ann Coffey,Vice Chair,Labour
289,All-Party Parliamentary Group on Responsible Tax,"How can Parliament help to build and maintain the fair, sustainable and transparent tax system that is needed if individuals, businesses and markets are to create growth and prosperity both in the UK and internationally?",Ann Coffey,Co-Chair,Labour
290,All-Party Parliamentary Group for Runaway and Missing Children and Adults,"To raise awareness about the level of risk of harm to children, young people and vulnerable adults who go missing from home or care.",Ann Coffey,Chair & Registered Contact,Labour
291,All-Party Parliamentary Group on Children in Wales,To consider issues of concern for children and young people in Wales.,Anna McMorrin,Treasurer,Labour
292,All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Anna McMorrin,Vice-Chair,Labour
293,All-Party Parliamentary Group on Electric and Automated Vehicles,"To engage parliamentarians interested in future low-carbon transport technologies concentrating mainly on electric vehicles, automated vehicles, and low carbon fuels together with infrastructure requirements  and safety issues. The APPG will bring together manufacturers, businesses, media, NGOs, and experts to share information, promote awareness, and debate future policy options.",Anna McMorrin,Vice Chair,Labour
294,"Parliamentary Internet, Communications and Technology Forum (an All-Party Parliamentary Group)","To further understanding of policy issues affecting the internet, communications and technology sector between parliamentarians, the industry, consumer groups and academia.",Anna McMorrin,Officer,Labour
295,"All-Party Parliamentary Group for Post-Brexit Funding for Nations, Regions and Local Areas",The EU is the largest financial contributor to UK regional development. After Brexit the government will establish a UK Shared Prosperity Fund. The APPG intends to shape thinking and engage in the details of the fund and new system of regional funding and policies after Brexit.,Anna McMorrin,Vice Chair,Labour
296,All-Party Parliamentary Group on the United Nations Global Goals for Sustainable Development,To promote the United Nations Global Goals for Sustainable Development and monitor their implementation.,Anna McMorrin,Vice Chair,Labour
297,All-Party Parliamentary Group on a Better Brexit for Young People,"To develop relationships between young people and parliamentarians, in order to secure a better Brexit for young people.  Young people will live with the outcome of Brexit the longest and therefore the group aims to ensure that young citizens have a voice in how the negotiations are shaped.",Anna Soubry,Vice Chair,Conservative
298,All-Party Parliamentary Group on British Muslims,"To inform Parliament and parliamentarians of, and harness their support for, the aspirations and challenges of British Muslim communities; to promote and celebrate their contributions; and to investigate the forms, manifestations and extent of prejudice, discrimination and hatred against Muslims in the UK.",Anna Soubry,Chair & Registered Contact,Conservative
299,All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Anna Soubry,Co-Chair,Conservative
300,All-Party Parliamentary Group on Bingo,To represent the interests of the bingo industry in Parliament.,Anna Turley,Chair & Registered Contact,Labour (Co-op)
301,All-Party Parliamentary Group for British Bioethanol,"To raise awareness of the industry, its economic impact, the supporting role it plays for British agriculture, and the environmental benefits of the bioethanol it produces. To promote the introduction of E10 fuel in the UK, help provide information and provide a greater understanding amongst parliamentarians and consumers.",Anna Turley,Vice Chair,Labour (Co-op)
302,All-Party Parliamentary Group on Carbon Capture and Storage,"To provide a forum for the discussion of issues relevant to the development of carbon capture and storage (CCS) technologies for the purposes of mitigating carbon dioxide emissions from energy intensive industries, heating and power.",Anna Turley,Officer,Labour (Co-op)
303,All-Party Parliamentary Group on Endometriosis,To raise awareness of endometriosis and investigate how those who suffer from the condition can receive the support they need.,Anna Turley,Vice Chair,Labour (Co-op)
304,All-Party Parliamentary Group on Foodbanks,To look at the rise of foodbank use in the UK and reasons behind the rise.,Anna Turley,Officer,Labour (Co-op)
305,All-Party Parliamentary Group on Freeports,To promote freeports as a vehicle for economic growth to benefit the national and local economies.,Anna Turley,Vice Chair,Labour (Co-op)
306,All-Party Parliamentary Group on Hydrogen,"To provide a forum for parliamentarians to engage with leading businesses and organisations that, in the context of the Climate Change Act and the Paris Agreement, are working to enable the UK to meet its decarbonisation targets through implementation of large scale hydrogen projects, and discuss policy options to support these.",Anna Turley,Chair & Registered Contact,Labour (Co-op)
307,All-Party Parliamentary Group on Steel and Metal Related Industries,"To ensure a fair deal for the UK steel and metal related industries by liaising with and lobbying the government, to raise the profile of cultural, environmental and social issues in the industry and its communities, and to research and develop policies which will promote thriving steel and cast metal industries in the UK.",Anna Turley,Secretary,Labour (Co-op)
308,All-Party Parliamentary Group on Cardiac Risk in the Young,To promote amongst parliamentarians the issue of cardiac risk in the young (CRY); to inform policy decisions and public debate relating to CRY; and to enable communications between interested parties and relevant parliamentarians.,Anne Marie Morris,Officer,Conservative
309,All-Party Parliamentary Group for Healthcare Infrastructure,"To raise awareness of the importance of innovation in the physical infrastructure of health services. The group meets throughout the year to explore, discuss and debate key challenges facing the buildings, technology and facilities supporting the NHS and the needs of its patients.",Anne Marie Morris,Vice Chair,Conservative
310,All-Party Parliamentary Group on Medical Research,"To provide an ongoing forum and network for parliamentarians with an interest in medical research; facilitate collaboration between parliamentarians and medical research bodies; and provide MPs and peers with up to date information on developments in medical research, including aspects of public health, ethics of research, and the implications of research findings for society.",Anne Marie Morris,Co-Secretary,Conservative
311,All-Party Parliamentary Group on Access to Medicines and Medical Devices,"To examine pricing, funding and wider access issues relating to the availability of medicines and medical technologies on the NHS in England.",Anne Marie Morris,Chair & Registered Contact,Conservative
312,All-Party Parliamentary Group on Rural Health and Social Care,To develop evidence-based policy recommendations for the government on the rural health (both mental and physical) and social care economy of England.  Current models are not suited to rural areas with sparse populations and a disproportionate number of over 85s with comorbidities including isolation and other mental health problems.,Anne Marie Morris,Chair & Registered Contact,Conservative
313,All-Party Parliamentary Group for the Armed Forces,To promote better understanding of Her Majesty's Armed Forces in Parliament.,Anne-Marie Trevelyan,Vice-Chairman (Royal Marines),Conservative
314,All-Party Parliamentary Group on the Armed Forces Covenant,To inform parliamentarians on all aspects of the Armed Forces Covenant and its implementation.,Anne-Marie Trevelyan,Co-Chair,Conservative
315,All-Party Parliamentary Group on Autism,"To raise awareness of issues affecting people with autism and Asperger syndrome, their families and carers; to raise parliamentary awareness of autism; to campaign for changes to government policy to benefit people with autism and Asperger syndrome and improve diagnosis or support for people with autism and Asperger syndrome.",Anne-Marie Trevelyan,Officer,Conservative
316,All-Party Parliamentary Group on Forestry,"A successful forestry and wood-processing sector is positive for the economy, environment, biodiversity, recreation and health. But its future is under threat unless urgent action is taken. The sector needs a secure supply of timber and woodlands must be managed responsibly. The APPG will help tackle both of these issues.",Anne-Marie Trevelyan,Vice Chair,Conservative
317,All-Party Parliamentargy Group on Road Freight and Logistics,To promote and represent the interests of the UK road haulage and logistics industries and provide a forum to discuss the opportunities and challenges.,Anne-Marie Trevelyan,Officer,Conservative
318,All-Party Parliamentary Group on Shipbuilding and Ship Repair,The group is concerned with shipbuilding and ship repair industry in the UK.,Anne-Marie Trevelyan,Vice Chair,Conservative
319,All-Party Parliamentary Group on Women's Health,To empower women to ensure that they can make an informed choice about the best treatment for them and that they are treated with dignity and respect.,Anne-Marie Trevelyan,Vice Chair,Conservative
320,All-Party Parliamentary Group on West Papua,To promote understanding of the situation in West Papua and the human rights of the West Papuan people.,Anneliese Dodds,Treasurer,Labour (Co-op)
321,All-Party Parliamentary Group on Financial Crime and Scamming,"To allow parliamentarians to understand the nature of financial crime and scamming, its impact on society and on vulnerable and susceptible citizens; and to address issues on how we appropriately respond to these challenges.",Anneliese Dodds,Vice Chair,Labour (Co-op)
322,All-Party Parliamentary Group on Nuclear Fusion,To inform and advise parliamentarians on the present status of research; how to maximise UK industry income and export potential; how fusion can benefit from government investment; how fusion fits into the new research landscape under UKRI; and how to fully exploit the synergies between fusion research and advanced nuclear fission technologies.,Anneliese Dodds,Vice Chair,Labour (Co-op)
323,All-Party Parliamentary Group on Whistleblowing,Whistleblowers are the vital element of a transparent society.  In 1998 the Public Interest Disclosure Act was introduced to protect employees who speak out.  In the face of many recent scandals the APPG is looking at the effectiveness of this legislation and how it might be improved.,Anneliese Dodds,Vice Chair,Labour (Co-op)
324,All-Party Parliamentary Group on Baby Loss,"To develop policy that supports families dealing with the grief and loss of a baby, and to raise awareness of what more can be done by the government, Parliament or other agencies to help those affected.",Antoinette Sandbach,Chair & Registered Contact,Conservative
325,All-Party Parliamentary Climate Change Group,"To inform the climate change discussion between parliamentarians, business leaders, NGOs and academics, and to accelerate action to address it.",Antoinette Sandbach,Officer,Conservative
326,All-Party Parliamentary Group for the Timber Industries,To help grow the use of timber and develop vibrant timber based industries across the whole supply chain in the UK.,Antoinette Sandbach,Vice Chair,Conservative
327,All-Party Parliamentary Group for Cyprus,To promote relationships between the UK and the Republic of Cyprus and their elected parliamentarians and people.,Bambos Charalambous,Vice Chair,Labour
328,All-Party Parliamentary Group for Alevis,"The APPG was established to recognise the important contribution that the Alevi community makes to British society; to ensure that British Alevis are represented in Parliament by giving them a platform to express their legitimate socio-political aspirations, so they achieve recognition for their rights and religion in Britain and overseas.",Bambos Charalambous,Vice Chair,Labour
329,All-Party Parliamentary Group on Breast Cancer,"To raise the profile of breast cancer issues within parliament. The group provides a forum for MPs and Peers to discuss important issues affecting patients with breast cancer. It encourages dialogue between parliamentarians, government, the NHS and those living with or affected by the disease.",Bambos Charalambous,Co-Chair,Labour
330,All-Party Parliamentary Group for Future Generations,To raise awareness of long-term issues; to explore ways to internalise longer-term considerations into today's decision making; to create space for cross-party dialogue on combating short-termism in policy making.,Bambos Charalambous,Vice Chair,Labour
331,All-Party Parliamentary Group on Legal and Constitutional Affairs,"To facilitate greater interaction between Parliament and the different branches of the legal profession, and to promote dialogue and understanding of legal and constitutional issues relating to justice and the legal services sector.",Bambos Charalambous,Officer,Labour
332,All-Party Parliamentary Group for London's Planning and Built Environment,"To explore the social, economic and environmental issues affecting London at a strategic level and build consensus as to the ways in which these might be addressed.",Bambos Charalambous,Vice-Chair,Labour
333,All-Party Parliamentary Group on Oracy,"To co-ordinate research, promote best practice and encourage the overarching principles of oracy in education and society at large.",Bambos Charalambous,Vice Chair,Labour
334,All-Party Parliamentary Group on Sex Equality,To campaign for the advancement of sex equality in the UK.,Bambos Charalambous,Officer,Labour
335,Sickle Cell and Thalassaemia All-Party Parliamentary Group,To raise awareness of issues facing Sickle Cell and Thalassaemia patients in the UK.,Bambos Charalambous,Officer,Labour
336,All-Party Parliamentary Group on Social Media and Young People's Mental Health and Wellbeing,To build upon the evidence base of the impact of social media upon young people's mental health and wellbeing; to raise the political profile of the issue; and to drive policy change that mitigates the bad and maximises the good of social media for young people.,Bambos Charalambous,Vice Chair,Labour
337,All-Party Parliamentary Group for Ageing and Older People,To focus on current political and legislative issues before Parliament which affect older people.,Barbara Keeley,Co-Chair,Labour
338,All-Party Parliamentary Group on Classical Music,"To bring together parliamentarians who have an interest in and wish to further the appreciation of classical music; to act as an interface between British orchestras' on and off-stage activities, the wider classical music industry, including broadcasters and the recording industry, and key decision makers and opinion formers; and to look at the potential for establishing parliamentary classical music awards and promoting the supporting young musicians.",Barbara Keeley,Chair & Registered Contact,Labour
339,All-Party Parliamentary Group on Haemophilia and Contaminated Blood,"To promote awareness of, and campaign for, people with haemophilia and other bleeding disorders and people infected with blood-borne viruses due to contaminated blood and blood products used in their healthcare treatment.",Barbara Keeley,Vice-Chair,Labour
340,All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Baroness Altmann,Vice Chair,Conservative
341,All-Party Parliamentary Group on Local Authority Pension Funds,To discuss the issues and concerns of local authority pension funds and the work of the Local Authority Pension Fund Forum.,Baroness Altmann,Vice Chair,Conservative
342,All-Party Parliamentary Group on Loneliness,To drive forward cross-party work among parliamentarians to influence legislation and policy making in order to reduce loneliness and build on the work of the Jo Cox Commission on Loneliness.,Baroness Altmann,Officer,Conservative
343,All-Party Parliamentary Group for Music Education,"To support parliamentarians engaging in discussions relating to music education through early years, primary, secondary, SEND, further and higher education, and lifelong learning. The Group shall have a particular focus on Curriculum, the National Plan for Music Education, challenges facing higher education and progression into the creative and cultural sector.",Baroness Altmann,Vice Chair,Conservative
344,"All-Party Parliamentary Group on Arts, Health and Wellbeing","To enable backbench parliamentarians, of all parties and from both Houses, to be informed about significant practice in the field of arts, health and wellbeing; to provide a springboard for parliamentary action, such as debates and questions for oral and written answer and make policy recommendations.",Baroness Andrews,Treasurer,Labour
345,All-Party Parliamentary Group on Housing and Care for Older People,"To promote discussion and set the agenda for developing better, more joined up housing care for older people, promising greater choices in later life.",Baroness Andrews,Vice Chair,Labour
346,British-Taiwanese All-Party Parliamentary Group,To promote understanding and relations between Britain and Taiwan.,Baroness Anelay of St Johns,Vice Chair,Conservative
347,All-Party Parliamentary Group on the Abolition of the Death Penalty,To campaign for the abolition of the death penalty in all circumstances and to raise awareness of death penalty cases.,Baroness Anelay of St Johns,Vice Chair,Conservative
348,All-Party Parliamentary Group on Illicit Trade,"To investigate and raise awareness of illicit trade in Britain, support closer working with parliamentarians to bring fresh impetus and ideas to tackling illicit trade and to highlight the impact on local businesses, high streets and communities.",Baroness Anelay of St Johns,Officer,Conservative
349,All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Baroness Anelay of St Johns,Vice-Chair,Conservative
350,All-Party Parliamentary Group on the Prevention of Sexual Violence in Conflict Initiative,To continue the work carried out by the ad hoc Select Committee on the Prevention of Sexual Violence in Conflict and to promote the objectives recommended.,Baroness Anelay of St Johns,Co-Vice Chair,Conservative
351,All-Party Parliamentary Group on Street Children,"To work to protect and promote the rights of street children worldwide and to raise awareness of the various issues they face. This work includes receiving reports of human rights violations against children globally and communicating concerns to parliamentarians, ambassadors and governments.",Baroness Anelay of St Johns,Co-Chair,Conservative
352,All-Party Parliamentary Group on Complex Needs,"To give parliamentarians a greater understanding of the barriers faced by those with complex needs or dual diagnosis who may have to negotiate a number of issues (mental health, substance misuse issues) in their lives while often living in deprivation and lacking access to stable housing or meaningful daily activities.",Baroness Armstrong of Hill Top,Officer,Labour
353,All-Party Parliamentary Humanist Group,To bring together non-religious MPs and peers to discuss matters of shared interests.,Baroness Bakewell,Co-Chair,Labour
354,All-Party Parliamentary Group on State Pension Inequality for Women,To provide a cross-party forum in which to hold the government to account on the issue of transitional arrangements to compensate 1950s-born women who are affected by changes to the state pension age and to campaign on issues around the state pension age.,Baroness Bakewell,Vice-Chair,Labour
355,All-Party Parliamentary Group for District Councils,"To work to promote the interests of district councils, support closer working with parliamentarians and to raise awareness of the opportunities for districts in shaping the evolving local government agenda.",Baroness Bakewell of Hardington Mandeville,Officer,Liberal Democrat
356,"All-Party Parliamentary Group for Gypsies, Travellers and Roma","To provide a forum for parliamentarians concerned about issues facing Gypsies, Travellers and Roma.",Baroness Bakewell of Hardington Mandeville,Vice-Chair,Liberal Democrat
357,All-Party Parliamentary Group for Housing and Planning,"To promote understanding of, and policy answers to, issues in housing and planning.",Baroness Bakewell of Hardington Mandeville,Secretary,Liberal Democrat
358,All-Party Parliamentary Group on Botswana,To promote a good relationship between Botswana and the UK.,Baroness Barker,Vice-Chair,Liberal Democrat
359,All-Party Parliamentary Cycling Group,To promote the use of bicycles as a means of transport and to raise both inside and outside the House the practice and status of cycling.,Baroness Barker,Officer,Liberal Democrat
360,All-Party Parliamentary Group on HIV and AIDS,"To facilitate good policy-making, respectful of human rights, that will limit the spread of HIV, mitigate its impact and support those already living with the virus, in the UK and internationally, and to hold the government to account for its relevant commitments.",Baroness Barker,Vice Chair,Liberal Democrat
361,All-Party Parliamentary Group on Housing and Care for Older People,"To promote discussion and set the agenda for developing better, more joined up housing care for older people, promising greater choices in later life.",Baroness Barker,Vice Chair,Liberal Democrat
362,"All-Party Parliamentary Group on Global Lesbian, Gay, Bisexual, and Transgender Rights","To advance LGBT rights around the world. We provide a forum for parliamentarians and organisations across the public, private and third sectors to work together to champion LGBT rights and push back against abuse and discrimination. We principally focus on international LGBT rights but include domestic issues within our remit.",Baroness Barker,Vice-Chair,Liberal Democrat
363,"All-Party Parliamentary Group  on Population, Development and Reproductive Health",To ensure the full implementation of the International Conference on Population and Development's programme of Action with specific reference to stabilisation of the world's population through choice and ensuring sustainable development in the UK and abroad.,Baroness Barker,Officer,Liberal Democrat
364,All-Party Parliamentary Group on Sexual and Reproductive Health,The All-Party Parliamentary Group on Sexual and Reproductive Health in the UK aims to raise awareness in Parliament of the needs of women seeking abortion and the importance of improving all aspects of the sexual health of women and men in the UK.,Baroness Barker,Co-Chair,Liberal Democrat
365,All-Party Parliamentary Group on Social Enterprise,"To showcase social enterprises, and discuss issues important to the social enterprise sector.",Baroness Barker,Vice Chair,Liberal Democrat
366,Caribbean All-Party Parliamentary Group,To encourage political interest in the Caribbean; to meet Caribbean politicians visiting the UK; and to discuss British-Caribbean politics.,Baroness Benjamin,Vice Chair,Liberal Democrat
367,All-Party Parliamentary Group for Children's Media and the Arts,"To raise awareness of the issues around children's arts and media within a wide cultural, social and educational context, and support the provision of both as specified in Articles 17 and 31 of the UN Convention on the Rights of the Child.",Baroness Benjamin,Co-Chair,Liberal Democrat
368,All-Party Parliamentary Group on a Fit and Healthy Childhood,To promote evidence-based discussion and produce reports on all aspects of childhood health and wellbeing including obesity; to inform policy decisions and public debate relating to childhood; and to enable communications between interested parties and relevant parliamentarians.,Baroness Benjamin,Co-Chair,Liberal Democrat
369,Royal Television Society All-Party Parliamentary Group,"To provide a vehicle for parliamentarians, together with members and patrons of the Royal Television Society, to debate and promote education in the culture, science and technology of television and encourage high standards of creativity.",Baroness Benjamin,Treasurer,Liberal Democrat
370,Sickle Cell and Thalassaemia All-Party Parliamentary Group,To raise awareness of issues facing Sickle Cell and Thalassaemia patients in the UK.,Baroness Benjamin,Officer,Liberal Democrat
371,All-Party Parliamentary Writers Group,To represent the interests of all writers; to safeguard their intellectual property rights; and to ensure they receive a fair level of recognition and reward for their contribution to the economy and society as a whole.,Baroness Benjamin,Secretary,Liberal Democrat
372,All-Party Parliamentary Group for North Korea,"To formulate solutions that promote and support human rights, democracy and security in the Democratic People's Republic of Korea; to establish relations with the exiled North Korean community to foster understanding of the DPRK and the challenges which face its people; and to explore meaningful relations between the parliaments of the UK and the DPRK.",Baroness Berridge,Secretary,Conservative
373,All-Party Parliamentary Group for the Commonwealth,"To inform Members about the Commonwealth Secretariat's developments to strengthen the Commonwealth network; to keep members aware of the range of non-parliamentary activities and programmes carried out underneath the Commonwealth brand, both on governmental and non-governmental levels; and to take advantage of opportunities within the developing Commonwealth network for Britain's political and commercial activities and for Britain's positioning in the new international landscape.",Baroness Berridge,Vice Chair & Secretary,Conservative
374,All-Party Parliamentary Group for International Freedom of Religion or Belief,"To raise awareness and profile of international Freedom of Religion or Belief (Article 18, UDHR) as a human right among UK parliamentarians, the media, government and the general public. The group also seeks to increase the effectiveness of the UK's contribution to international institutions charged with enforcing this human right.",Baroness Berridge,Co-Chair,Conservative
375,All-Party Parliamentary Group on Domestic Violence and Abuse,"To work towards the elimination of domestic violence and abuse, to highlight issues arising for survivors and specialist support services, and to contribute to the development of policy and legislation in this area.",Baroness Bertin,Officer,Conservative
376,All-Party Parliamentary Group on Youth Employment,To promote youth employment in all its forms and the role of young people within the economy; to ensure that young people's voices are heard; to highlight the need for quality opportunities; and to share best practice.,Baroness Bertin,Officer,Conservative
377,All-Party Parliamentary Group on Tennis,"To promote the sport of tennis, and to enable MPs and peers to play tennis matches together and compete with outside tennis teams.",Baroness Billingham,Co-Chair,Labour
378,All-Party Parliamentary Group on Atrial Fibrillation,"To raise awareness of atrial fibrillation (AF) and ensure the diagnosis, management and treatment of AF is a priority of the NHS. To improve detection and management of AF in accordance with proven best practice.",Baroness Bloomfield of Hinton Waldrist,Officer,Conservative
379,All-Party Parliamentary Group on Mexico,"To keep Mexico on the political agenda of the UK parliament and to strengthen the relationship in a number of different ways, including human rights, democracy, good governance and economic development.",Baroness Bonham-Carter of Yarnbury,Vice Chair,Liberal Democrat
380,All-Party Parliamentary BBC Group,"To encourage debate and engage in discussion about all elements of the BBC, including the BBC world service and the BBC‰Ûªs role within the creative industries.",Baroness Bonham-Carter of Yarnbury,Treasurer,Liberal Democrat
381,British Museum All-Party Parliamentary Group,"To establish a partnership between Parliament and the British Museum, including work with local and regional museums, and an understanding of its role as a leading world museum.",Baroness Bonham-Carter of Yarnbury,Vice Chair,Liberal Democrat
382,All-Party Parliamentary Channel 4 Group,"To provide a forum for discussion of Channel 4's content, strategy and contribution to public service broadcasting in the UK, as well as wider relevant regulatory issues.",Baroness Bonham-Carter of Yarnbury,Vice Chair,Liberal Democrat
383,All-Party Parliamentary Dance Group,"To promote dance as an art form and as an important element of healthy living and the fight against obesity, and to promote its education and social benefits.",Baroness Bonham-Carter of Yarnbury,Co-Vice Chair,Liberal Democrat
384,All-Party Parliamentary ITV Group,To provide a forum for parliamentarians to consider and discuss the role and contribution of ITV in broadcasting in the UK and regulatory issues.,Baroness Bonham-Carter of Yarnbury,Vice Chair,Liberal Democrat
385,All-Party Parliamentary Group on Publishing,"To promote the value of high quality publishing to UK society, culture and the economy.  To foster a better understanding among parliamentarians about publishers, booksellers and associated fields, all of whom contribute to a world-leading publishing sector.",Baroness Bonham-Carter of Yarnbury,Vice Chair,Liberal Democrat
386,Royal Television Society All-Party Parliamentary Group,"To provide a vehicle for parliamentarians, together with members and patrons of the Royal Television Society, to debate and promote education in the culture, science and technology of television and encourage high standards of creativity.",Baroness Bonham-Carter of Yarnbury,Deputy Chair,Liberal Democrat
387,The All-Party Parliamentary Arts and Heritage Group,To provide a focal point for MPs and Peers with an interest in arts and heritage; to further the appreciation of arts and heritage; and to act as a contact point between this sector and Parliament.,Baroness Boothroyd,Vice President,Crossbench
388,All-Party Parliamentary Group on Friends of the University of Hull,"To promote the University of Hull as a local, national and global centre of teaching, learning and research excellence and a vital contributor to the local community and economy of the Humber region and beyond.",Baroness Bottomley of Nettlestone,President,Conservative
389,All-Party Parliamentary Corporate Governance Group,"To develop and enhance the understanding of corporate governance at Westminster. The focus is on promoting responsible leadership of business, so that the interests of shareholders and other stakeholders are properly protected.",Baroness Bowles of Berkhamsted,Officer,Liberal Democrat
390,All-Party Parliamentary Group on EU Relations,To provide a forum for cross-party discussion on the UK's relationship with the European Union; to contribute to the debate around key issues in the UK-EU negotiations; and to make the case in public and in parliament for a close relationship with the European Union.,Baroness Bowles of Berkhamsted,Vice Chair,Liberal Democrat
391,All-Party Parliamentary Group on Islamic Finance,"To give the Islamic finance industry a voice in Parliament; to address issues as they arise such as Sukuk issuances, inclusivity, regulation and taxation whilst positioning the UK as the European hub of Islamic financial services, and also to play a wider role in promoting ethical finance.",Baroness Bowles of Berkhamsted,Vice Chair,Liberal Democrat
392,All-Party Parliamentary Group on Agroecology for Sustainable Food and Farming,"Providing a forum for parliamentarians, leading academics, farmers and NGOs to look at how agroecology food and farming principles can offer economic viability and promote long-term environmental protection. Combining 21st century science with traditional farming techniques and knowledge, the APPG promotes a food chain for the 21st century.",Baroness Boycott,Officer,Crossbench
393,British Parliamentary Awards All-Party Parliamentary Group,"To recognise the most influential organisations in UK global relations by bringing together and promoting Britain's highest achieving men and women on a local, national and international level as part of a new Global Britain campaign.",Baroness Brady,Officer,Conservative
394,All-Party Parliamentary Group on Bullying,"To highlight, discuss and record the frequency, severity, and consequences of bullying on children and young people, and the effect it has on their parents or carers, peers, their school and others.",Baroness Brinton,Co-Chair,Liberal Democrat
395,All-Party Parliamentary Group on Christians in Parliament,To support Christians of all denominations and parties in their work in the Houses of Parliament.,Baroness Brinton,Vice Chair,Liberal Democrat
396,All-Party Parliamentary Group on Victims of Crime,To monitor and inform the government's victims strategy and try to ensure that it is as robust and all-inclusive as possible.,Baroness Brinton,Co-Chair,Liberal Democrat
